Instructor,Course,Term,Enrolled/Response Rate,Avg Grade Recieved,Avg Hours Worked,Student Learning,Course Structure,Class Environment
"Tripathi, Tarang",SYN 2 - Inquiring/Changing Planet (008),WI24,21 (38.10%),3.97 (A-),2.5,4.66,4.75,4.69
"Vega, Adrian",SYN 2 - Inquiring/Changing Planet (009),WI24,20 (60.00%),3.80 (A-),3.0,4.02,4.25,4.45
"Deavenport, James Cary",SYN 2 - Inquiring/Changing Planet (010),WI24,19 (42.11%),4.00 (A),3.5,3.94,4.32,4.53
"Tripathi, Tarang",SYN 2 - Inquiring/Changing Planet (011),WI24,20 (55.00%),4.00 (A),3.55,4.84,4.89,4.89
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (012),WI24,20 (30.00%),3.88 (A-),2.67,4.17,4.38,4.33
"Iatarola, Briana Marie",SYN 2 - Inquiring/Changing Planet (013),WI24,20 (40.00%),3.99 (A-),4.75,4.78,4.87,4.84
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (014),WI24,19 (31.58%),3.93 (A-),4.0,4.08,3.87,4.21
"Iatarola, Briana Marie",SYN 2 - Inquiring/Changing Planet (015),WI24,20 (40.00%),4.00 (A),3.75,4.59,4.84,4.88
"Vega, Adrian",SYN 2 - Inquiring/Changing Planet (017),WI24,20 (50.00%),3.97 (A-),3.6,3.78,3.73,4.33
"Browne, Emily",SYN 2 - Inquiring/Changing Planet (018),WI24,19 (84.21%),3.86 (A-),4.0,4.41,4.7,4.76
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (019),WI24,20 (90.00%),3.96 (A-),3.67,4.65,4.73,4.74
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (020),WI24,19 (84.21%),3.86 (A-),3.4,4.33,4.39,4.52
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (021),WI24,19 (89.47%),3.98 (A-),3.59,4.31,4.45,4.6
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (022),WI24,20 (60.00%),3.94 (A-),3.83,3.96,3.81,4.42
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (005),FA23,20 (80.00%),3.99 (A-),5.0,4.65,4.81,4.86
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (007),FA23,22 (18.18%),3.73 (A-),5.0,4.81,4.94,5.0
"Meyer, Leslie Rose",SYN 2 - Inquiring/Changing Planet (008),FA23,20 (60.00%),3.83 (A-),5.0,4.56,4.67,4.79
"Browne, Emily",SYN 2 - Inquiring/Changing Planet (009),FA23,20 (90.00%),3.88 (A-),5.28,4.48,4.63,4.58
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (010),FA23,20 (85.00%),3.96 (A-),5.29,4.18,4.46,4.72
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (016),FA23,18 (16.67%),4.00 (A),5.0,4.17,4.33,4.42
"Deavenport, James Cary",SYN 2 - Inquiring/Changing Planet (017),FA23,22 (31.82%),3.99 (A-),4.29,4.75,4.5,4.61
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (018),FA23,20 (75.00%),3.94 (A-),5.0,3.88,3.97,4.43
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (019),FA23,20 (90.00%),3.92 (A-),5.0,4.37,4.62,4.83
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (020),FA23,19 (36.84%),3.98 (A-),5.0,4.36,4.48,4.57
"Meyer, Leslie Rose",SYN 2 - Inquiring/Changing Planet (023),FA23,19 (57.89%),3.88 (A-),5.0,4.64,4.77,4.82
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (024),FA23,20 (90.00%),3.81 (A-),4.72,4.15,4.56,4.71
"Browne, Emily",SYN 2 - Explorations/Changing Planet (002),S223,16 (43.75%),3.98 (A-),7.14,4.82,4.7,4.81
"Vega, Adrian",SYN 2 - Explorations/Changing Planet (003),S223,16 (43.75%),3.82 (A-),7.14,3.79,3.59,4.11
"Iatarola, Briana Marie",SYN 2 - Explorations/Changing Planet (001),S123,15 (20.00%),3.73 (A-),8.33,4.42,4.83,4.75
"Deavenport, James Cary",SYN 2 - Explorations/Changing Planet (002),S123,14 (21.43%),3.71 (A-),6.67,4.5,4.67,4.42
"Iatarola, Briana Marie",SYN 2 - Explorations/Changing Planet (003),S123,13 (69.23%),4.00 (A),7.78,4.44,4.78,4.75
"Rosenberg, Ryan Glenn",SYN 2 - Explorations/Changing Planet (004),S123,16 (100.00%),3.88 (A-),5.31,4.69,4.93,4.91
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (001),WI24,21 (85.71%),3.53 (B+),4.33,4.47,4.64,4.72
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (002),WI24,20 (70.00%),3.90 (A-),3.71,4.05,4.22,4.67
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (003),WI24,20 (80.00%),4.00 (A),3.0,4.42,4.52,4.65
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (005),WI24,20 (90.00%),4.00 (A),3.0,4.72,4.79,4.86
"Browne, Emily",SYN 2 - Inquiring/Changing Planet (007),WI24,20 (90.00%),3.99 (A-),3.78,4.4,4.57,4.76
"Tripathi, Tarang",SYN 2 - Inquiring/Changing Planet (008),WI24,21 (38.10%),3.97 (A-),2.5,4.66,4.75,4.69
"Vega, Adrian",SYN 2 - Inquiring/Changing Planet (009),WI24,20 (60.00%),3.80 (A-),3.0,4.02,4.25,4.45
"Deavenport, James Cary",SYN 2 - Inquiring/Changing Planet (010),WI24,19 (42.11%),4.00 (A),3.5,3.94,4.32,4.53
"Tripathi, Tarang",SYN 2 - Inquiring/Changing Planet (011),WI24,20 (55.00%),4.00 (A),3.55,4.84,4.89,4.89
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (012),WI24,20 (30.00%),3.88 (A-),2.67,4.17,4.38,4.33
"Iatarola, Briana Marie",SYN 2 - Inquiring/Changing Planet (013),WI24,20 (40.00%),3.99 (A-),4.75,4.78,4.87,4.84
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (014),WI24,19 (31.58%),3.93 (A-),4.0,4.08,3.87,4.21
"Iatarola, Briana Marie",SYN 2 - Inquiring/Changing Planet (015),WI24,20 (40.00%),4.00 (A),3.75,4.59,4.84,4.88
"Vega, Adrian",SYN 2 - Inquiring/Changing Planet (017),WI24,20 (50.00%),3.97 (A-),3.6,3.78,3.73,4.33
"Browne, Emily",SYN 2 - Inquiring/Changing Planet (018),WI24,19 (84.21%),3.86 (A-),4.0,4.41,4.7,4.76
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (019),WI24,20 (90.00%),3.96 (A-),3.67,4.65,4.73,4.74
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (020),WI24,19 (84.21%),3.86 (A-),3.4,4.33,4.39,4.52
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (021),WI24,19 (89.47%),3.98 (A-),3.59,4.31,4.45,4.6
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (022),WI24,20 (60.00%),3.94 (A-),3.83,3.96,3.81,4.42
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (005),FA23,20 (80.00%),3.99 (A-),5.0,4.65,4.81,4.86
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (007),FA23,22 (18.18%),3.73 (A-),5.0,4.81,4.94,5.0
"Meyer, Leslie Rose",SYN 2 - Inquiring/Changing Planet (008),FA23,20 (60.00%),3.83 (A-),5.0,4.56,4.67,4.79
"Browne, Emily",SYN 2 - Inquiring/Changing Planet (009),FA23,20 (90.00%),3.88 (A-),5.28,4.48,4.63,4.58
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (010),FA23,20 (85.00%),3.96 (A-),5.29,4.18,4.46,4.72
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (016),FA23,18 (16.67%),4.00 (A),5.0,4.17,4.33,4.42
"Deavenport, James Cary",SYN 2 - Inquiring/Changing Planet (017),FA23,22 (31.82%),3.99 (A-),4.29,4.75,4.5,4.61
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (018),FA23,20 (75.00%),3.94 (A-),5.0,3.88,3.97,4.43
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (019),FA23,20 (90.00%),3.92 (A-),5.0,4.37,4.62,4.83
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (020),FA23,19 (36.84%),3.98 (A-),5.0,4.36,4.48,4.57
"Meyer, Leslie Rose",SYN 2 - Inquiring/Changing Planet (023),FA23,19 (57.89%),3.88 (A-),5.0,4.64,4.77,4.82
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (024),FA23,20 (90.00%),3.81 (A-),4.72,4.15,4.56,4.71
"Browne, Emily",SYN 2 - Explorations/Changing Planet (002),S223,16 (43.75%),3.98 (A-),7.14,4.82,4.7,4.81
"Vega, Adrian",SYN 2 - Explorations/Changing Planet (003),S223,16 (43.75%),3.82 (A-),7.14,3.79,3.59,4.11
"Iatarola, Briana Marie",SYN 2 - Explorations/Changing Planet (001),S123,15 (20.00%),3.73 (A-),8.33,4.42,4.83,4.75
"Deavenport, James Cary",SYN 2 - Explorations/Changing Planet (002),S123,14 (21.43%),3.71 (A-),6.67,4.5,4.67,4.42
"Iatarola, Briana Marie",SYN 2 - Explorations/Changing Planet (003),S123,13 (69.23%),4.00 (A),7.78,4.44,4.78,4.75
"Rosenberg, Ryan Glenn",SYN 2 - Explorations/Changing Planet (004),S123,16 (100.00%),3.88 (A-),5.31,4.69,4.93,4.91
"Kini, Aditi Natasha",SYN 2R - Inquiring/Changing Planet (001),WI24,17 (17.65%),3.76 (A-),4.33,3.58,3.75,4.67
"Kini, Aditi Natasha",SYN 2R - Inquiring/Changing Planet (002),WI24,20 (25.00%),3.84 (A-),4.6,2.85,2.55,4.11
"Iatarola, Briana Marie",SYN 2R - Inquiring/Changing Planet (001),FA23,20 (30.00%),3.95 (A-),5.0,4.33,4.35,4.5
"Gladstein, Jill M",SYN 2R - Inquiring/Changing Planet (002),FA23,16 (43.75%),4.00 (A),7.5,2.67,2.91,3.38
"Gladstein, Jill M",SYN 2R - Inquiring/Changing Planet (003),FA23,16 (25.00%),3.98 (A-),8.75,4.56,4.25,4.38
"Tripathi, Tarang",SYN 100 - Engaging/Changing Planet (A00),SP24,30 (46.67%),3.96 (A-),3.62,4.59,4.63,4.55
"Gladstein, Jill M",SYN 100 - Engaging/Changing Planet (B00),SP24,21 (28.57%),3.91 (A-),4.0,4.33,4.33,4.5
"Tripathi, Tarang",SYN 100 - Engaging/Changing Planet (C00),SP24,30 (50.00%),3.90 (A-),4.47,4.6,4.67,4.7
"Rock, Martin",SYN 100 - Engaging/Changing Planet (E00),SP24,31 (9.68%),3.88 (A-),3.0,4.33,4.0,4.67
"Browne, Emily",SYN 100 - Engaging/Changing Planet (F00),SP24,30 (76.67%),3.93 (A-),3.55,4.58,4.67,4.64
"Gormally, Brenna",SYN 100 - Engaging/Changing Planet (I00),SP24,30 (66.67%),3.90 (A-),4.6,4.33,4.48,4.64
"Atkinson, Arthur Laird",SYN 100 - Engaging/Changing Planet (J00),SP24,30 (30.00%),3.86 (A-),2.71,4.67,4.78,4.83
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (K00),SP24,29 (20.69%),3.81 (A-),4.33,4.08,4.18,4.63
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (L00),SP24,30 (50.00%),3.77 (A-),3.67,4.24,4.61,4.65
"Atkinson, Arthur Laird",SYN 100 - Engaging/Changing Planet (A00),WI24,28 (28.57%),3.65 (B+),2.5,3.69,3.94,4.16
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (B00),WI24,30 (50.00%),3.88 (A-),4.29,4.57,4.68,4.68
"Tawater, Hanna Jean",SYN 100 - Engaging/Changing Planet (D00),WI24,29 (37.93%),3.91 (A-),4.09,4.41,4.68,4.8
"Gormally, Brenna",SYN 100 - Engaging/Changing Planet (E00),WI24,18 (66.67%),3.77 (A-),4.33,4.56,4.67,4.66
"Iatarola, Briana Marie",SYN 100 - Engaging/Changing Planet (G00),WI24,29 (58.62%),3.92 (A-),4.13,4.6,4.87,4.9
"Gere, Catherina M.",SYN 100 - Engaging/Changing Planet (H00),WI24,28 (28.57%),3.85 (A-),5.0,4.47,4.47,4.42
"Rock, Martin",SYN 100 - Engaging/Changing Planet (I00),WI24,30 (83.33%),3.88 (A-),3.56,4.39,4.3,4.44
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (J00),WI24,30 (60.00%),3.91 (A-),4.41,4.14,4.3,4.38
"Browne, Emily",SYN 100 - Engaging/Changing Planet (K00),WI24,30 (66.67%),3.87 (A-),3.0,4.48,4.66,4.81
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (L00),WI24,27 (40.74%),3.94 (A-),4.64,4.61,4.64,4.77
"Gormally, Brenna",SYN 100 - Engaging/Changing Planet (B00),FA23,30 (46.67%),3.96 (A-),6.07,4.39,4.5,4.71
"Rock, Martin",SYN 100 - Engaging/Changing Planet (C00),FA23,30 (20.00%),3.86 (A-),5.0,4.96,5.0,5.0
"Tawater, Hanna Jean",SYN 100 - Engaging/Changing Planet (D00),FA23,29 (27.59%),3.91 (A-),5.63,4.38,4.42,4.66
"Rock, Martin",SYN 100 - Engaging/Changing Planet (E00),FA23,29 (31.03%),3.94 (A-),5.0,4.61,4.67,4.75
"Browne, Emily",SYN 100 - Engaging/Changing Planet (H00),FA23,30 (90.00%),3.94 (A-),5.56,4.18,4.64,4.78
"Iatarola, Briana Marie",SYN 100 - Engaging/Changing Planet (J00),FA23,29 (41.38%),4.00 (A),6.25,4.71,4.8,4.91
"Gerth, Karl G.",SYN 100 - Engaging/Changing Planet (L00),FA23,29 (31.03%),3.99 (A-),5.56,4.25,4.33,4.37
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (M00),FA23,30 (30.00%),3.95 (A-),5.56,4.69,4.74,4.75
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (N00),FA23,30 (40.00%),3.95 (A-),5.42,4.17,4.19,4.49
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (R00),FA23,27 (22.22%),3.91 (A-),5.0,4.0,4.48,4.65
"Atkinson, Arthur Laird",SYN 100 - Engaging/Changing Planet (S00),FA23,28 (32.14%),3.74 (A-),5.0,4.57,4.44,4.6
"Meyer, Leslie Rose",SYN 100 - Solutions/Changing Planet (B00),S223,20 (30.00%),3.95 (A-),7.5,4.65,4.82,4.58
"Rosenberg, Ryan Glenn",SYN 100 - Solutions/Changing Planet (A00),S123,16 (62.50%),4.00 (A),6.0,4.95,4.9,4.74
"Meyer, Leslie Rose",SYN 100 - Solutions/Changing Planet (B00),S123,16 (18.75%),3.95 (A-),5.0,5.0,4.92,5.0
"Gormally, Brenna",SYN 100 - Solutions/Changing Planet (A00),SP23,29 (41.38%),3.98 (A-),5.42,4.83,4.73,4.85
"Gladstein, Jill M",SYN 100 - Solutions/Changing Planet (E00),SP23,29 (17.24%),3.87 (A-),6.0,4.47,4.63,4.63
"Rosenberg, Ryan Glenn",SYN 100 - Solutions/Changing Planet (F00),SP23,30 (46.67%),3.89 (A-),5.0,4.6,4.78,4.84
"Tripathi, Tarang",SYN 100 - Engaging/Changing Planet (A00),SP24,30 (46.67%),3.96 (A-),3.62,4.59,4.63,4.55
"Gladstein, Jill M",SYN 100 - Engaging/Changing Planet (B00),SP24,21 (28.57%),3.91 (A-),4.0,4.33,4.33,4.5
"Tripathi, Tarang",SYN 100 - Engaging/Changing Planet (C00),SP24,30 (50.00%),3.90 (A-),4.47,4.6,4.67,4.7
"Rock, Martin",SYN 100 - Engaging/Changing Planet (E00),SP24,31 (9.68%),3.88 (A-),3.0,4.33,4.0,4.67
"Browne, Emily",SYN 100 - Engaging/Changing Planet (F00),SP24,30 (76.67%),3.93 (A-),3.55,4.58,4.67,4.64
"Gormally, Brenna",SYN 100 - Engaging/Changing Planet (I00),SP24,30 (66.67%),3.90 (A-),4.6,4.33,4.48,4.64
"Atkinson, Arthur Laird",SYN 100 - Engaging/Changing Planet (J00),SP24,30 (30.00%),3.86 (A-),2.71,4.67,4.78,4.83
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (K00),SP24,29 (20.69%),3.81 (A-),4.33,4.08,4.18,4.63
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (L00),SP24,30 (50.00%),3.77 (A-),3.67,4.24,4.61,4.65
"Atkinson, Arthur Laird",SYN 100 - Engaging/Changing Planet (A00),WI24,28 (28.57%),3.65 (B+),2.5,3.69,3.94,4.16
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (B00),WI24,30 (50.00%),3.88 (A-),4.29,4.57,4.68,4.68
"Tawater, Hanna Jean",SYN 100 - Engaging/Changing Planet (D00),WI24,29 (37.93%),3.91 (A-),4.09,4.41,4.68,4.8
"Gormally, Brenna",SYN 100 - Engaging/Changing Planet (E00),WI24,18 (66.67%),3.77 (A-),4.33,4.56,4.67,4.66
"Iatarola, Briana Marie",SYN 100 - Engaging/Changing Planet (G00),WI24,29 (58.62%),3.92 (A-),4.13,4.6,4.87,4.9
"Gere, Catherina M.",SYN 100 - Engaging/Changing Planet (H00),WI24,28 (28.57%),3.85 (A-),5.0,4.47,4.47,4.42
"Rock, Martin",SYN 100 - Engaging/Changing Planet (I00),WI24,30 (83.33%),3.88 (A-),3.56,4.39,4.3,4.44
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (J00),WI24,30 (60.00%),3.91 (A-),4.41,4.14,4.3,4.38
"Browne, Emily",SYN 100 - Engaging/Changing Planet (K00),WI24,30 (66.67%),3.87 (A-),3.0,4.48,4.66,4.81
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (L00),WI24,27 (40.74%),3.94 (A-),4.64,4.61,4.64,4.77
"Gormally, Brenna",SYN 100 - Engaging/Changing Planet (B00),FA23,30 (46.67%),3.96 (A-),6.07,4.39,4.5,4.71
"Rock, Martin",SYN 100 - Engaging/Changing Planet (C00),FA23,30 (20.00%),3.86 (A-),5.0,4.96,5.0,5.0
"Tawater, Hanna Jean",SYN 100 - Engaging/Changing Planet (D00),FA23,29 (27.59%),3.91 (A-),5.63,4.38,4.42,4.66
"Rock, Martin",SYN 100 - Engaging/Changing Planet (E00),FA23,29 (31.03%),3.94 (A-),5.0,4.61,4.67,4.75
"Browne, Emily",SYN 100 - Engaging/Changing Planet (H00),FA23,30 (90.00%),3.94 (A-),5.56,4.18,4.64,4.78
"Iatarola, Briana Marie",SYN 100 - Engaging/Changing Planet (J00),FA23,29 (41.38%),4.00 (A),6.25,4.71,4.8,4.91
"Gerth, Karl G.",SYN 100 - Engaging/Changing Planet (L00),FA23,29 (31.03%),3.99 (A-),5.56,4.25,4.33,4.37
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (M00),FA23,30 (30.00%),3.95 (A-),5.56,4.69,4.74,4.75
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (N00),FA23,30 (40.00%),3.95 (A-),5.42,4.17,4.19,4.49
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (R00),FA23,27 (22.22%),3.91 (A-),5.0,4.0,4.48,4.65
"Atkinson, Arthur Laird",SYN 100 - Engaging/Changing Planet (S00),FA23,28 (32.14%),3.74 (A-),5.0,4.57,4.44,4.6
"Meyer, Leslie Rose",SYN 100 - Solutions/Changing Planet (B00),S223,20 (30.00%),3.95 (A-),7.5,4.65,4.82,4.58
"Rosenberg, Ryan Glenn",SYN 100 - Solutions/Changing Planet (A00),S123,16 (62.50%),4.00 (A),6.0,4.95,4.9,4.74
"Meyer, Leslie Rose",SYN 100 - Solutions/Changing Planet (B00),S123,16 (18.75%),3.95 (A-),5.0,5.0,4.92,5.0
"Gormally, Brenna",SYN 100 - Solutions/Changing Planet (A00),SP23,29 (41.38%),3.98 (A-),5.42,4.83,4.73,4.85
"Gladstein, Jill M",SYN 100 - Solutions/Changing Planet (E00),SP23,29 (17.24%),3.87 (A-),6.0,4.47,4.63,4.63
"Rosenberg, Ryan Glenn",SYN 100 - Solutions/Changing Planet (F00),SP23,30 (46.67%),3.89 (A-),5.0,4.6,4.78,4.84
"Vega, Adrian",SYN 150 - Defining Scope/Changing Planet (001),SP24,16 (43.75%),3.94 (A-),4.43,4.36,4.73,4.75
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (003),SP24,18 (66.67%),3.28 (B),4.83,4.77,4.81,4.83
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (001),WI24,20 (70.00%),3.63 (B+),4.0,4.61,4.63,4.84
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (002),WI24,20 (75.00%),3.68 (B+),5.71,4.86,4.93,4.95
"Vega, Adrian",SYN 150 - Defining Scope/Changing Planet (004),WI24,18 (22.22%),3.61 (B+),2.5,4.75,4.81,4.94
"Gladstein, Jill M",SYN 150 - Defining Scope/Changing Planet (005),WI24,14 (42.86%),3.51 (B+),5.0,4.58,4.83,4.83
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (001),FA23,19 (47.37%),3.63 (B+),5.0,4.86,4.97,4.94
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (002),FA23,17 (70.59%),3.68 (B+),6.25,4.33,4.46,4.81
"Gladstein, Jill M",SYN 150 - Defining Scope/Changing Planet (003),FA23,20 (20.00%),3.40 (B+),5.0,4.94,4.88,5.0
"Vega, Adrian",SYN 150 - Defining Scope/Changing Planet (004),FA23,18 (61.11%),3.61 (B+),5.91,4.02,3.9,4.56
"Vega, Adrian",SYN 150 - Defining Scope/Changing Planet (005),FA23,17 (29.41%),3.71 (A-),6.0,3.4,3.37,3.85
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (A00),SP24,23 (17.39%),3.83 (A-),3.0,,,
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (C00),SP24,22 (22.73%),3.89 (A-),4.2,4.85,4.75,4.68
"Basso, Beatrice",TDAC 1 - Introduction to Acting (D00),SP24,20 (20.00%),4.00 (A),2.5,5.0,4.94,4.56
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (E00),SP24,21 (33.33%),3.89 (A-),3.67,4.71,4.72,4.91
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (F00),SP24,20 (20.00%),3.98 (A-),4.0,4.06,3.94,4.07
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (A00),WI24,22 (22.73%),3.79 (A-),1.8,4.75,4.63,4.86
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (B00),WI24,22 (22.73%),3.70 (A-),3.0,4.26,4.12,4.25
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (C00),WI24,20 (25.00%),3.86 (A-),3.4,4.5,4.4,4.38
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (D00),WI24,20 (20.00%),3.95 (A-),2.0,4.5,4.56,4.63
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (E00),WI24,23 (17.39%),3.87 (A-),4.0,4.5,4.31,4.25
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (F00),WI24,20 (20.00%),3.98 (A-),2.0,4.75,4.91,
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (G00),WI24,23 (21.74%),3.91 (A-),3.0,4.53,3.93,4.08
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (A00),FA23,21 (28.57%),3.79 (A-),4.17,4.38,4.25,4.04
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (B00),FA23,20 (20.00%),3.70 (A-),5.0,4.75,4.77,4.89
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (C00),FA23,20 (30.00%),3.86 (A-),5.83,4.17,3.83,3.75
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (D00),FA23,21 (42.86%),3.95 (A-),4.44,4.53,4.5,4.42
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (E00),FA23,20 (20.00%),3.87 (A-),6.25,4.88,4.92,4.67
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (F00),FA23,20 (40.00%),3.98 (A-),5.63,4.04,3.88,3.82
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (A00),S223,19 (52.63%),3.79 (A-),5.5,4.85,4.85,4.89
"Salovey, Todd",TDAC 1 - Introduction to Acting (A00),S123,16 (18.75%),3.62 (B+),5.0,5.0,5.0,5.0
"Harting, Carla Kelso",TDAC 1 - Introduction to Acting (B00),S123,18 (50.00%),3.78 (A-),5.0,4.92,4.97,5.0
"Celik, Aysan Karagasli",TDAC 101 - Acting I (A00),SP24,26 (19.23%),3.83 (A-),4.2,4.95,4.9,4.85
"Harting, Carla Kelso",TDAC 101 - Acting I (A00),WI24,19 (42.11%),3.65 (B+),2.75,4.75,4.72,4.73
"Salovey, Todd",TDAC 101 - Acting I (B00),WI24,20 (25.00%),3.96 (A-),1.8,4.9,4.95,4.75
"Harting, Carla Kelso",TDAC 101 - Acting I (A00),FA23,18 (66.67%),3.64 (B+),5.45,4.64,4.72,4.66
"Walsh, Kim C.",TDAC 101 - Acting I (B00),FA23,19 (57.89%),3.93 (A-),5.0,4.7,4.73,4.77
"Salovey, Todd",TDAC 101 - Acting I (D00),FA23,19 (36.84%),4.00 (A),5.71,4.89,4.96,4.92
"Walsh, Kim C.",TDAC 102 - Acting II (A00),SP24,15 (53.33%),3.87 (A-),3.5,4.78,4.72,4.75
"Harting, Carla Kelso",TDAC 102 - Acting II (B00),SP24,18 (72.22%),3.94 (A-),3.31,4.62,4.75,4.63
"Celik, Aysan Karagasli",TDAC 102 - Acting II (B00),WI24,21 (23.81%),3.84 (A-),2.2,4.42,4.47,4.72
"Basso, Beatrice",TDAC 102 - Acting II (A00),FA23,20 (30.00%),3.85 (A-),5.83,4.92,4.96,4.96
"Barricelli, Marc Alexander",TDAC 104 - Classical Text (A00),WI24,13 (23.08%),3.76 (A-),3.0,5.0,5.0,5.0
"Stalling, Vanessa",TDAC 107 - Improvisation for the Theatre (A00),FA23,13 (61.54%),3.61 (B+),5.0,4.84,4.87,4.86
"Buescher, Stephen W.",TDAC 108 - Advanced Topics (A00),SP24,32 (81.25%),3.92 (A-),1.54,4.85,4.91,4.75
"Huynh, Michelle Vy",TDAC 108 - Advanced Topics (C00),FA23,19 (31.58%),3.71 (A-),5.0,4.63,4.75,4.61
"Blair, Kyle Adam",TDAC 109 - Singing for Actors (A00),SP24,19 (26.32%),4.00 (A),3.0,4.8,4.61,4.38
"Buescher, Stephen W.",TDAC 115 - Movement for Actors (A00),WI24,27 (85.19%),3.86 (A-),1.26,4.93,4.93,4.94
"Perry, Lamar",TDAC 122 - Ensemble: Undergrad Production (A00),WI24,13 (23.08%),4.00 (A),3.67,,,
"Kuhl, Christopher August",TDAC 123 - Advanced Studies/Performance (B00),WI24,15 (20.00%),3.90 (A-),4.33,4.25,4.18,4.45
"Stein, Deborah Isobel",TDAC 123 - Advanced Studies/Performance (B00),FA23,21 (38.10%),3.97 (A-),6.25,4.13,4.13,4.55
"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A00),WI24,95 (31.58%),3.44 (B+),4.67,4.49,4.3,4.44
"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A00),FA23,90 (34.44%),3.44 (B+),6.94,4.52,4.28,4.5
